model,task_id,claim_text,claim_type,fen,bucket
openai/gpt-5.2,9qWjN,"after 26...Bxf6, White remains up only by pawns",state,5rk1/6p1/3NpR1p/1p6/3bP3/1P1P4/2P1R1PP/5K2 b - - 0 26,
qwen/qwen3.8-2.4t-a95b,WJuBL,"after 1...Be6 2.Nf5, Black can play 2...Bxf5 and threaten Qh2# again",threat,r1b2rk1/p1p2p2/7b/2p5/3p2P1/1P1P1qNK/PBP4P/R2Q2NR b - - 4 22,
qwen/qwen3.8-2.4t-a95b,L4F3I,the king on g8 cannot escape to f7 because its own rook occupies that square,state,r5k1/5r2/p2p1p2/2p1qPp1/4P3/1P3Q1R/1pP3P1/1R4K1 w - - 2 26,
qwen/qwen3.8-2.4t-a95b,QnR2D,"If Kf7, White is up a rook and continues with Qf4+ (check along the f-file)",threat,2r3k1/p3r1qp/1p2p1p1/3pQ3/8/7P/P4PP1/2R3K1 w - - 0 30,
anthropic/claude-sonnet-5,5MPMl,if gxf6 it shatters Black's kingside pawn cover,unverifiable,r4rk1/1bq2ppp/p4n2/2p1pn2/1p2N3/3BQ2N/PPP2PPP/2RR2K1 w - - 2 20,
qwen/qwen3.8-2.4t-a95b,Wtctx,"after Kxf2 Bxh4+ Kf3/Ke3, Black continues with Rf8+ maintaining a powerful attack",plan,5rk1/4b1p1/3P3p/p1p5/2PpR1QP/1P4P1/P2N2K1/5r2 b - - 0 27,
anthropic/claude-sonnet-5,L3D7U,Playing h6 attacks the knight,threat,r2q3k/p3b1pp/2p2n2/2p3N1/8/1P1P1Q2/P1PB2PP/R5K1 b - - 2 20,
openai/gpt-5.2,fKSnX,This drives the king off f1,plan,2k3r1/1pp5/p1p5/8/3P4/6r1/PPP2R2/4RK2 b - - 1 27,
openai/gpt-5.2,TR5Rx,38 b4 forces a decision,threat,8/p4k2/1p5p/2p1K1p1/5p1P/P4P2/1P4P1/8 w - - 1 38,
openai/gpt-5.2,WQGeV,13...Rxd2 forces 14.Kxd2,threat,r2r2k1/pp3pbp/2p1bnp1/4B3/8/P1P1P2P/1P1NBPP1/R3K2R b KQ - 3 13,
openai/gpt-5.2,d7qke,White can take the rook on a1,threat,8/4k3/R5p1/5pK1/5P1p/6P1/p6P/r7 w - - 0 58,
anthropic/claude-sonnet-5,vBEyj,the pawn on e6 masks a discovered check from the rook on e1 against the black king on e8,state,3rk2r/pp5p/2n1p1pQ/1B3pN1/8/8/PP1q1PPP/1K2R3 w k - 4 22,
anthropic/claude-sonnet-5,OOK41,"Re6 creates the most forcing, favorable set of continuations",unverifiable,8/4R3/2b2pk1/6p1/6P1/4NPK1/4r3/8 w - - 3 46,
openai/gpt-5.2,3W2ct,Black can force mate by exploiting the advanced a2-pawn,plan,r1r3k1/4pp1p/3p2P1/2q5/4P3/1P3P2/p1PQ2P1/B1KR3R b - - 0 29,
openai/gpt-5.2,Bh8lN,23.Nxd6 is the critical tactical move that best improves White's prospects,plan,4rrk1/5ppp/1p1bq3/pPpnn3/P1N1p3/4B1P1/2P1BP1P/R2R1QK1 w - - 2 23,
openai/gpt-5.2,OBD9M,White cannot recapture on h1,state,r1b1k2r/pp2nppp/2n5/6N1/2Pp4/8/P2BBPqP/R2QK2R w KQkq - 0 13,
qwen/qwen3.8-2.4t-a95b,L3D7U,"if Be3 blocks, then Qxe3+ wins the bishop with check",threat,r2q3k/p3b1pp/2p2n2/2p3N1/8/1P1P1Q2/P1PB2PP/R5K1 b - - 2 20,
openai/gpt-5.2,lp8Vq,White has a direct mating attack on the exposed black king,unverifiable,2r2r2/4bp1k/p3p1pp/1p2B3/1Pq2P2/2P1R2Q/P5PP/R5K1 w - - 1 27,
openai/gpt-5.2,Q1Q96,32.Bxf6 is the strongest,plan,3q1rk1/5rn1/p4nQ1/1p1p2B1/3P3P/P1P2P2/6P1/1R2R1K1 w - - 5 32,
openai/gpt-5.2,XcNHS,after the exchanges Black emerges with a rook remaining while White has no rooks,unverifiable,7r/pp2qpk1/3p1b2/2pP1Bp1/2P1Q3/6P1/PP1BKP1r/R6R b - - 0 28,
qwen/qwen3.8-2.4t-a95b,h1t7d,Qg5 allows Nxe7+ winning the rook with check,threat,r3r1k1/pp3ppp/1bnp4/8/2B2P1q/1QB3NP/PPP3P1/2K5 w - - 0 20,
anthropic/claude-sonnet-5,7ZcOe,there's no better tactical shot available,unverifiable,6k1/p5pp/2pb4/3p4/1P1Br3/2P4P/P2K1P2/4R3 b - - 1 23,
qwen/qwen3.8-2.4t-a95b,ZGlBX,"After Re2, the white king can't go to g2 due to Kf3",state,7r/p1p5/1p2R3/2b2P2/P1P3P1/6k1/8/4RK2 b - - 4 36,
anthropic/claude-sonnet-5,WJuBL,the king is forced to Kh4,threat,r1b2rk1/p1p2p2/7b/2p5/3p2P1/1P1P1qNK/PBP4P/R2Q2NR b - - 4 22,
openai/gpt-5.2,3gNwP,"No other move gives such a strong, tempo-gaining check while also netting material against the hanging bishop",unverifiable,r2qk2r/ppp2ppp/2nb1n2/3Np3/3pP1b1/3B1Q2/PPPPNPPP/R1B1K2R w KQkq - 6 8,
qwen/qwen3.8-2.4t-a95b,weioO,"After Rc1+ Kg1, then Qe3+ forces Kh1",threat,2r5/q2n1kb1/3R2R1/3Pp3/4Pp2/P4P2/Q3B3/5K2 b - - 0 38,
qwen/qwen3.8-2.4t-a95b,ynJ4j,"After Qb8+ Ke7 Qxg8, White is up a full rook",state,3k2r1/p1pp4/b7/2pP1p2/2P1PqB1/5P2/1Q6/1R1K4 w - - 2 28,
openai/gpt-5.2,Mh0XF,Qxf7+ fails to Kxf7,threat,5rk1/2Q2p1p/2p1p1p1/p2p4/8/q2b4/P4PPP/2RR2K1 w - - 4 26,
anthropic/claude-sonnet-5,E4uPI,"if Rxd7, then Qxd7 recaptures, netting Black a rook and pawn for a bishop",plan,6k1/3bR1p1/1p1P3p/2pq4/8/5Q2/5PK1/8 b - - 1 39,
anthropic/claude-sonnet-5,Wtctx,"the king must step aside to g1, h2 or h3",state,5rk1/4b1p1/3P3p/p1p5/2PpR1QP/1P4P1/P2N2K1/5r2 b - - 0 27,
anthropic/claude-sonnet-5,d7qke,Ra6xa2 offers trade of rooks,plan,8/4k3/R5p1/5pK1/5P1p/6P1/p6P/r7 w - - 0 58,
anthropic/claude-sonnet-5,oejsB,the endgame is favorable,unverifiable,4r1k1/1R5p/4pr2/4Rp2/5Q2/6PP/2p2PK1/q7 w - - 0 32,
qwen/qwen3.8-2.4t-a95b,8CtXx,1...b4? loses to 2.Kd4,threat,8/7p/8/ppK2kP1/5P2/1P6/P7/8 b - - 3 54,
anthropic/claude-sonnet-5,mAX4w,Black has a powerful initiative for no material cost,unverifiable,2kr4/1pq2pp1/p1p2np1/3p1r2/PP1P4/2N1P2P/2Q1BPPb/R1R2K2 b - - 0 19,
anthropic/claude-sonnet-5,kN9Py,this forcing check gains tempo,plan,2b5/1p1pk3/n5PQ/8/P1BP4/5K2/p7/1r6 b - - 0 39,
anthropic/claude-sonnet-5,8isqe,king can't capture on g7,state,r2qr1kb/1p1n4/p3p2p/2pp2pN/8/2PB1QB1/PP3PPP/5NK1 w - - 0 23,
openai/gpt-5.2,Qqbad,White can also take h4 and win with two pawns versus king,plan,8/8/3k2p1/8/4KpPp/7P/8/8 w - - 0 52,
anthropic/claude-sonnet-5,c29TF,Black plays Rxd4 (protected by Qf6),plan,1k1r1b1r/ppp1ppp1/5q2/PP1n4/2pPP3/2P3PB/2Q2P2/R1B1K2R b KQ - 0 17,
qwen/qwen3.8-2.4t-a95b,h1t7d,"If Qe4 defends e7, then Nd6 forks the queen on e4 and rook on e8",threat,r3r1k1/pp3ppp/1bnp4/8/2B2P1q/1QB3NP/PPP3P1/2K5 w - - 0 20,
qwen/qwen3.8-2.4t-a95b,MrF6v,"If Nxc8, then Rxf1+ Kxf1 Qxc8 leaves Black with Q+R vs Q+N",plan,2rq1rk1/p4pp1/1N3b1p/8/8/PQ6/1P3PPP/3R1RK1 b - - 0 20,
anthropic/claude-sonnet-5,OudPu,eventually the king will help force the bishop away,plan,8/8/6P1/7P/P1pb4/1k2p3/4K3/8 w - - 0 43,
qwen/qwen3.8-2.4t-a95b,OudPu,"White has pawns on a4, g6, and h5",state,8/8/6P1/7P/P1pb4/1k2p3/4K3/8 w - - 0 43,
anthropic/claude-sonnet-5,yGhPV,Black simply wins the rook for free,threat,8/8/8/8/p1k5/1p1R1P2/1K4P1/8 b - - 1 49,
qwen/qwen3.8-2.4t-a95b,yGhPV,1...Kd4 loses to 2.Rxb3,threat,8/8/8/8/p1k5/1p1R1P2/1K4P1/8 b - - 1 49,
qwen/qwen3.8-2.4t-a95b,x9VYC,After 2...Ke8 3. Rxd8+ Kxd8 White wins the rook,threat,3r1k2/5nbR/3p1p2/2p5/1pB1rpP1/pP6/P1P5/B1K4R w - - 0 32,
anthropic/claude-sonnet-5,hTdN0,the king is forced to d1 or c1,state,5k2/p4p2/4pQ2/P7/5p2/1P2r1bq/3K2R1/6R1 b - - 6 42,
qwen/qwen3.8-2.4t-a95b,sFf9w,if 2.Kg2 fxe3 3.Kf3 Kf5 4.Kxe3 Kxe5 wins the e5 pawn,threat,8/pp6/2p3kp/2P1Pp2/P3p3/4P1PK/7P/8 b - - 1 37,
openai/gpt-5.2,InxAC,40.Qc4+ is the strongest forcing move,unverifiable,6k1/6pp/8/5p2/3PnP2/q3B2P/4Q1RK/1r6 w - - 2 40,
anthropic/claude-sonnet-5,mAX4w,"if the king recaptures on f2, it would walk into the rook's line",state,2kr4/1pq2pp1/p1p2np1/3p1r2/PP1P4/2N1P2P/2Q1BPPb/R1R2K2 b - - 0 19,
openai/gpt-5.2,IoSGT,the queen/other pieces cannot capture it either,state,r2q3r/2p2k2/p4b2/2pPQNp1/7p/8/PPPR1P2/2K4R w - - 3 32,
openai/gpt-5.2,tmWMO,33.Rxc1 removes the c1-queen,plan,1r1k4/2p2rpp/4p3/P7/2qPP3/3nQ2P/5PP1/1RqR3K w - - 0 32,
openai/gpt-5.2,LvVki,48...h4? fails because after 49.gxh4+ Black cannot recapture with the king,threat,8/8/8/1p1p2kp/1PpP4/p1P3PK/P7/8 b - - 1 48,
qwen/qwen3.8-2.4t-a95b,Bh8lN,"after Nxd6 Qxd6, White obtains the bishop pair",state,4rrk1/5ppp/1p1bq3/pPpnn3/P1N1p3/4B1P1/2P1BP1P/R2R1QK1 w - - 2 23,
qwen/qwen3.8-2.4t-a95b,SEtGv,"if Qxf5, Rxf5 wins the queen",threat,2r1r3/7k/p3p1qp/1p6/1P1PpP2/P3QR1P/1B4P1/6K1 w - - 0 35,
qwen/qwen3.8-2.4t-a95b,eBjvr,"if White tries Rc7 to attack c2, Black plays Rxc7 winning the rook",threat,2r5/R5p1/4nk1p/1P6/8/2p5/P4PPP/2B3K1 b - - 1 33,
anthropic/claude-sonnet-5,XJNlY,f2 is blocked by White's own pawn,state,8/5p2/4p3/p3P1k1/r2B2p1/3QPqPp/5P1P/2R2K2 b - - 3 38,
anthropic/claude-sonnet-5,hPTg4,the knight to escape safely without losing material,plan,8/p2k1p2/N2b2pp/8/r4PP1/6P1/3R2K1/8 w - - 1 43,
openai/gpt-5.2,tmWMO,the queen on c1 is eyeing b1,state,1r1k4/2p2rpp/4p3/P7/2qPP3/3nQ2P/5PP1/1RqR3K w - - 0 32,
openai/gpt-5.2,WvhFG,after …Nxe7 the move Qh7 is a protected queen check,threat,r4rk1/2pb1pp1/2n2q1p/p3pN2/1p1P3P/3Q4/PPB2PP1/R3R1K1 w - - 0 21,
openai/gpt-5.2,OBD9M,"if Black goes for 13...Qxh1+, then 14.Bxh1 wins the queen",threat,r1b1k2r/pp2nppp/2n5/6N1/2Pp4/8/P2BBPqP/R2QK2R w KQkq - 0 13,
qwen/qwen3.8-2.4t-a95b,o6dAa,"After Rg2+ Kh1, Black draws at minimum",plan,8/2p5/3p4/3P4/4N3/7p/1R2K3/5rk1 b - - 7 56,
qwen/qwen3.8-2.4t-a95b,ynJ4j,"After Qb8+ Kc8, White maintains a strong initiative with Qxa7 or Qb7+",plan,3k2r1/p1pp4/b7/2pP1p2/2P1PqB1/5P2/1Q6/1R1K4 w - - 2 28,
anthropic/claude-sonnet-5,fKSnX,White's king is forced to e2,plan,2k3r1/1pp5/p1p5/8/3P4/6r1/PPP2R2/4RK2 b - - 1 27,
openai/gpt-5.2,13ZpW,"After 23 gxf3, the check cannot be blocked",state,6k1/ppp3b1/3p2pp/4n3/2P4q/4N3/PP1QRrPP/3R2K1 b - - 0 22,
anthropic/claude-sonnet-5,IXCby,"If Qxc4, Nd2xc4 wins the queen for a rook",threat,5k1r/p1p2p1p/6p1/3BPn2/1q5b/1P2B3/P2N2PP/2R2K1R w - - 2 21,
anthropic/claude-sonnet-5,wR7QA,"marching the king via f4–g4/g3 lets Black capture h4 first, then g5",plan,8/6p1/p5p1/Pp2k1P1/1P1p3P/2PK4/8/8 b - - 0 45,
qwen/qwen3.8-2.4t-a95b,9hlj6,"if the king goes to d4 directly after Re2+, Rd2+ wins the queen",threat,3Q4/5ppk/5n1p/4P3/pB6/Pb2KPP1/7r/8 b - - 0 34,
anthropic/claude-sonnet-5,1RuLR,"White simply plays Nxc5, winning a full piece plus a pawn",plan,1r1q2k1/R5pp/4p3/2bp4/1ppNn3/4B2P/1PP3P1/5QK1 w - - 1 25,
anthropic/claude-sonnet-5,VcbFQ,the knight on e5 forking/attacking the rook on h8 from f7,threat,r3k2r/pp3ppp/8/q1p1Nb2/2P1n3/PPp1PP2/2Q3PP/R3KB1R b KQkq - 0 15,
anthropic/claude-sonnet-5,ngWvr,Black comes out a clear piece ahead with no counterplay against the black king,unverifiable,1k1r4/ppp2pp1/8/4PQ1p/8/1PP1q3/PB1r1RPP/R4K2 b - - 1 22,
anthropic/claude-sonnet-5,Loa8y,White has an extra pawn on the kingside (g4 vs g7/h7),state,8/6pp/1p6/p2k1K2/P5P1/8/1P5P/8 w - - 1 43,
anthropic/claude-sonnet-5,GGfGW,pushing it starts an unstoppable promotion race,threat,7k/5p2/1R3p1p/P3r3/1P2n3/4P3/8/2K5 w - - 1 38,
anthropic/claude-sonnet-5,ZMk9g,White is forced to react (blocking with g3-g4 or moving the king),plan,8/5ppk/1p5p/pPr5/P3qP2/3RP1PK/1Q5P/3R4 b - - 0 30,
qwen/qwen3.8-2.4t-a95b,PEM0a,"after Bxe4 Kxe4 Kb3, White's best is Kd3",unverifiable,8/8/4p3/2pbP3/1k2BK2/4P3/1P6/8 b - - 0 37,
anthropic/claude-sonnet-5,XcNHS,White loses both rooks while Black only loses one,threat,7r/pp2qpk1/3p1b2/2pP1Bp1/2P1Q3/6P1/PP1BKP1r/R6R b - - 0 28,
openai/gpt-5.2,MrF6v,"if White responds 21.Qxb6, Black recaptures 21...axb6",plan,2rq1rk1/p4pp1/1N3b1p/8/8/PQ6/1P3PPP/3R1RK1 b - - 0 20,
qwen/qwen3.8-2.4t-a95b,W6DXF,Nxe3 winning the queen is clearly the strongest option,plan,r4rk1/pbq2ppp/1p2B3/8/3P2n1/P3QN2/1P3PPP/2R2RK1 b - - 0 16,
openai/gpt-5.2,4TAjZ,White cannot recapture the queen,state,r4rk1/pp5p/3p4/2p3b1/2P3n1/1PN1q1NB/P5K1/R2Q1R2 b - - 3 23,
anthropic/claude-sonnet-5,aa5A9,f7 is blocked,state,rnb2rk1/ppq4p/4p1pQ/2p3N1/2B5/4P3/P3KPPP/bN5R w - - 2 15,
openai/gpt-5.2,IoSGT,Kxe6 is illegal,state,r2q3r/2p2k2/p4b2/2pPQNp1/7p/8/PPPR1P2/2K4R w - - 3 32,
qwen/qwen3.8-2.4t-a95b,9qWjN,Black's bishop on d4 is well-placed,state,5rk1/6p1/3NpR1p/1p6/3bP3/1P1P4/2P1R1PP/5K2 b - - 0 26,
qwen/qwen3.8-2.4t-a95b,chf4l,Nf5 is the strongest,unverifiable,r2r2k1/pp3ppp/1bpN3q/4P3/6Q1/7P/PB4P1/1R5K w - - 2 29,
openai/gpt-5.2,e4EhK,23.cxd4 recaptures,plan,r2q1r1k/pp3pp1/2p2n1p/8/3b4/1PPQ1R1P/P1B2PP1/R4K2 w - - 0 22,
qwen/qwen3.8-2.4t-a95b,XcNHS,Rxf2+ exposes the white king,threat,7r/pp2qpk1/3p1b2/2pP1Bp1/2P1Q3/6P1/PP1BKP1r/R6R b - - 0 28,
qwen/qwen3.8-2.4t-a95b,ZT4Ab,"If Ng3, hxg3 wins the knight",threat,rn2k2r/pp4pp/2pqpp2/3pN3/2PPn3/4P3/PP2QPPP/RN3RK1 w kq - 0 11,
openai/gpt-5.2,tmWMO,after 32.Qxc1 Black's most natural recapture is 32…Qxc1,unverifiable,1r1k4/2p2rpp/4p3/P7/2qPP3/3nQ2P/5PP1/1RqR3K w - - 0 32,
openai/gpt-5.2,4OFsi,the white king cannot capture a well-placed checking queen,unverifiable,8/p2R1pk1/8/6K1/3R2P1/PP3q2/7P/8 b - - 0 54,
